Date,High,Low,Close,Volume
9/17/2015,975,949,952,28849
9/22/2015,950,913,920,23240
9/23/2015,958,936,940,19431
9/24/2015,957,925,949,19391
9/28/2015,938,910,938,17729
9/29/2015,960,938,960,12392
9/30/2015,986,955,985,30770
10/1/2015,1010,970,993,29266
10/4/2015,1012,980,985,29292
10/5/2015,979,970,970,22203
10/6/2015,970,946,946,11879
10/7/2015,965,925,951,9423
10/8/2015,955,933,950,9440
10/11/2015,941,915,920,13136
10/14/2015,918,908,909,7491
10/15/2015,927,900,914,9840
10/18/2015,906,896,896,10125
10/19/2015,912,890,911,13288
10/25/2015,900,881,897,6765
10/27/2015,892,861,866,10718
10/28/2015,880,840,874,13802
10/29/2015,891,870,880,11730
11/1/2015,872,850,866,4126
11/2/2015,885,869,878,8389
11/3/2015,868,860,868,3149
11/4/2015,893,866,877,6344
11/5/2015,876,867,872,7385
11/8/2015,865,857,860,5009
11/9/2015,894,870,894,7945
11/10/2015,891,875,889,8335
11/15/2015,874,860,874,3025
11/16/2015,865,851,860,6603
11/18/2015,880,870,875,5915
11/19/2015,874,857,871,3183
11/22/2015,855,839,839,9270
11/23/2015,840,817,840,13496
11/24/2015,835,824,835,13585
11/25/2015,835,822,835,6702
11/26/2015,824,801,815,15623
11/29/2015,814,787,787,10979
11/30/2015,808,787,800,11386
12/1/2015,840,810,838,6761
12/2/2015,840,802,818,7157
12/3/2015,850,815,838,16673
12/6/2015,884,851,884,23660
12/7/2015,895,875,892,24009
12/8/2015,905,875,903,21148
12/9/2015,923,905,920,33780
12/10/2015,940,920,939,54716
12/13/2015,960,910,920,19927
12/14/2015,916,902,907,12553
12/15/2015,921,910,915,13654
12/16/2015,918,900,907,9714
12/17/2015,915,901,915,17448
12/20/2015,957,901,957,30396
12/21/2015,1052,976,1052,93168
12/22/2015,1157,1021,1029,119750
12/23/2015,1036,1006,1008,54700
12/24/2015,1019,1002,1012,34569
12/27/2015,1024,1012,1019,22998
12/28/2015,1017,1000,1000,30514
12/29/2015,1008,998,1006,22015
12/31/2015,1015,999,999,34876
1/3/2016,1021,1000,1014,50335
1/4/2016,1034,1010,1012,41061
1/5/2016,1012,999,999,42311
1/6/2016,1007,995,999,54491
1/7/2016,1010,991,997,101756
1/10/2016,725,700,700,7483
1/11/2016,705,695,700,6752
1/12/2016,719,699,719,12534
1/13/2016,715,706,706,1880
1/14/2016,708,700,705,4225
1/17/2016,729,705,729,6444
1/18/2016,765,715,724,9066
1/19/2016,728,718,728,4087
1/20/2016,720,715,715,4750
1/21/2016,717,711,714,8086
1/24/2016,724,715,720,9158
1/25/2016,730,715,720,14597
1/26/2016,724,715,720,11030
1/27/2016,720,710,712,4489
1/28/2016,711,707,710,8349
1/31/2016,710,700,709,3143
2/1/2016,726,710,721,10652
2/2/2016,740,720,723,29888
2/3/2016,750,725,725,27172
2/4/2016,735,724,726,14681
2/7/2016,740,722,726,12458
2/8/2016,732,722,722,17546
2/11/2016,726,720,723,8473
2/14/2016,737,722,722,13211
2/15/2016,725,714,718,5195
2/16/2016,720,711,711,8228
2/17/2016,725,710,723,8159
2/18/2016,738,709,733,21176
2/21/2016,759,740,749,38252
2/22/2016,760,737,755,29107
2/23/2016,769,747,755,11757
2/24/2016,760,740,745,8323
2/25/2016,748,725,744,10460
2/28/2016,750,735,741,14002
2/29/2016,745,735,740,18226
3/1/2016,742,735,735,3637
3/2/2016,742,730,741,7179
3/3/2016,743,738,740,11804
3/6/2016,749,740,745,5534
3/10/2016,750,740,742,15243
3/13/2016,756,741,741,9949
3/14/2016,744,739,740,14969
3/15/2016,742,738,740,6928
3/16/2016,746,737,739,13251
3/17/2016,753,741,742,5356
3/20/2016,749,739,747,8174
3/21/2016,761,746,750,16186
3/23/2016,761,745,755,6157
3/24/2016,762,750,760,35795
3/27/2016,800,770,785,24001
3/28/2016,800,780,790,15039
3/29/2016,792,768,780,11369
3/30/2016,782,774,774,7723
3/31/2016,775,762,765,7924
4/3/2016,770,752,767,9855
4/4/2016,773,761,770,5189
4/5/2016,785,775,775,5184
4/6/2016,779,772,775,9094
4/10/2016,790,776,776,10945
4/11/2016,781,776,776,7145
4/12/2016,790,778,782,12984
4/14/2016,836,785,807,18822
4/17/2016,830,813,830,18250
4/18/2016,877,833,872,30191
4/19/2016,884,843,854,36006
4/20/2016,866,852,859,19102
4/21/2016,867,847,851,20159
4/24/2016,871,843,850,29317
4/25/2016,880,856,875,44819
4/26/2016,888,863,863,33328
4/27/2016,880,851,876,23594
4/28/2016,878,860,865,17778
5/2/2016,871,856,861,19569
5/3/2016,865,858,864,25556
5/4/2016,879,855,878,56355
5/5/2016,903,864,900,58825
5/8/2016,950,914,950,128264
5/9/2016,969,934,959,77126
5/10/2016,965,926,935,62743
5/11/2016,935,911,920,81424
5/12/2016,944,913,923,144468
5/15/2016,788,758,780,42382
5/16/2016,780,766,772,15287
5/17/2016,771,760,763,6985
5/18/2016,771,763,770,17096
5/19/2016,785,755,768,25776
5/22/2016,784,765,775,17858
5/23/2016,784,775,777,31204
