date,open,high,low,Close,volume,Name
1/21/2018,1039,1045,1025,1039,12003,NABIL
1/22/2018,1039,1043,1033,1039,11946,NABIL
1/23/2018,1039,1040,1030,1031,6612,NABIL
1/24/2018,1031,1032,1010,1015,19823,NABIL
1/25/2018,1015,1039,1020,1037,8156,NABIL
1/28/2018,1037,1055,1044,1048,10059,NABIL
1/29/2018,1048,1055,1045,1052,11653,NABIL
1/31/2018,1052,1070,1058,1070,10033,NABIL
2/1/2018,1070,1098,1075,1090,12664,NABIL
2/4/2018,1090,1099,1086,1086,19894,NABIL
2/5/2018,1086,1092,1074,1077,12146,NABIL
2/6/2018,1077,1073,1065,1072,4578,NABIL
2/7/2018,1072,1066,1060,1066,7436,NABIL
2/8/2018,1066,1070,1057,1065,8717,NABIL
2/11/2018,1065,1070,1060,1070,6351,NABIL
2/12/2018,1070,1074,1061,1062,6125,NABIL
2/14/2018,1062,1075,1060,1068,11870,NABIL
2/15/2018,1068,1104,1075,1104,18692,NABIL
2/18/2018,1104,1126,1106,1112,19540,NABIL
2/20/2018,1112,1130,1093,1100,9378,NABIL
2/21/2018,1100,1096,1085,1095,2594,NABIL
2/22/2018,1095,1100,1086,1090,8036,NABIL
2/25/2018,1090,1090,1065,1070,10593,NABIL
2/26/2018,1070,1085,1059,1059,12348,NABIL
2/27/2018,1059,1075,1055,1068,19270,NABIL
2/28/2018,1068,1067,1055,1060,12588,NABIL
3/4/2018,1060,1045,1022,1034,13490,NABIL
3/5/2018,1034,1070,1031,1035,9593,NABIL
3/6/2018,1035,1060,1025,1050,15880,NABIL
3/7/2018,1050,1065,1051,1060,21280,NABIL
3/11/2018,1060,1060,1040,1044,11768,NABIL
3/12/2018,1044,1043,1035,1043,8110,NABIL
3/13/2018,1043,1041,1024,1030,14786,NABIL
3/14/2018,1030,1040,1030,1030,9600,NABIL
3/15/2018,1030,1035,1023,1023,11196,NABIL
3/18/2018,1023,1029,1019,1025,12162,NABIL
3/19/2018,1025,1030,1012,1015,12030,NABIL
3/20/2018,1015,1015,998,1015,23717,NABIL
3/21/2018,1015,1001,985,985,20783,NABIL
3/22/2018,985,990,969,975,20012,NABIL
3/26/2018,975,965,920,925,16921,NABIL
3/27/2018,925,950,888,939,25557,NABIL
3/28/2018,939,968,931,968,23753,NABIL
3/29/2018,968,987,967,970,18810,NABIL
4/1/2018,970,975,917,945,15347,NABIL
4/2/2018,945,949,937,945,8678,NABIL
4/3/2018,945,950,939,950,11371,NABIL
4/4/2018,950,965,950,965,16959,NABIL
4/5/2018,965,978,965,970,27949,NABIL
4/8/2018,970,1010,972,999,31730,NABIL
4/9/2018,999,1030,994,994,35267,NABIL
4/10/2018,994,1000,980,986,11944,NABIL
4/11/2018,986,994,980,988,8026,NABIL
4/12/2018,988,999,988,989,14218,NABIL
4/15/2018,989,999,979,990,13102,NABIL
4/16/2018,990,999,980,996,8325,NABIL
4/17/2018,996,1005,997,1002,16009,NABIL
4/18/2018,1002,1050,999,1040,21999,NABIL
4/19/2018,1040,1060,1041,1055,15695,NABIL
4/22/2018,1055,1076,1058,1065,20691,NABIL
4/23/2018,1065,1081,1050,1050,16208,NABIL
4/24/2018,1050,1064,1032,1032,8229,NABIL
4/25/2018,1032,1045,1030,1040,10589,NABIL
4/26/2018,1040,1050,1020,1030,13380,NABIL
4/29/2018,1030,1020,1002,1013,7378,NABIL
5/2/2018,1013,1025,996,1009,10811,NABIL
5/3/2018,1009,1025,1009,1009,6662,NABIL
5/6/2018,1009,1006,1000,1005,6340,NABIL
5/7/2018,1005,1010,998,999,6050,NABIL
5/8/2018,999,1010,997,1010,8831,NABIL
5/9/2018,1010,1014,1003,1003,7968,NABIL
5/10/2018,1003,1010,996,1003,3212,NABIL
5/14/2018,1003,1004,990,1000,8898,NABIL
5/15/2018,1000,1007,995,1002,2596,NABIL
5/16/2018,1002,1002,999,1000,6058,NABIL
5/17/2018,1000,1005,1001,1002,3295,NABIL
5/20/2018,1002,1022,1000,1000,9372,NABIL
5/21/2018,1000,1010,996,999,6405,NABIL
5/22/2018,999,1003,995,995,6365,NABIL
5/23/2018,995,999,984,987,5655,NABIL
5/24/2018,987,999,990,990,5307,NABIL
5/27/2018,990,990,978,989,3069,NABIL
5/28/2018,989,1012,985,1012,4170,NABIL
5/29/2018,1012,1010,999,999,4198,NABIL
5/30/2018,999,1013,999,1000,2360,NABIL
